Store,Dept,residual_std
5,24,251.86417915995563
5,25,332.9017090596766
5,26,211.11527883749108
5,27,48.591523108386454
5,28,26.38736821591301
5,29,146.46286348374272
5,30,123.2092745723949
5,31,134.2078819944443
5,32,622.736676605843
5,33,263.48317494915904
5,34,370.5393278767371
5,35,167.26136654368315
5,36,138.95504375375148
5,38,6517.395362640509
5,40,873.7147788909919
5,41,124.7121433676668
5,42,233.05136581085625
5,44,145.38835898297782
5,45,20.631276634578896
5,46,544.4822123499274
5,49,21.714174329782633
5,52,82.35009085414787
5,54,22.607637319372085
5,55,528.1856819206938
5,56,448.8571833564185
5,58,340.6679830876803
5,59,69.15061865969632
5,60,32.991469718694304
5,67,622.564618498052
5,71,128.63477977861447
5,72,1350.0439238490796
5,74,344.1238980008789
5,79,373.5196872207059
5,81,105.23380355305757
5,82,588.2895842129474
5,85,161.02507887469716
5,87,931.3989774744832
5,90,151.26648327052544
5,91,116.47462033448743
5,92,293.5337845851197
5,94,322.095550748093
5,95,833.7367159745069
5,96,426.70451192396763
5,97,60.126337227779885
5,98,28.684972980586075
6,1,923.0281508828825
6,2,700.5634545923609
6,3,559.5091734497084
6,4,453.1437336534445
6,5,705.5840415507328
6,6,285.1684966298339
6,7,1066.808186025515
6,8,447.76304354134
6,9,1561.8846624721746
6,10,757.6143918047524
6,11,626.9237190318552
6,12,119.23448813175821
6,13,436.5973966879373
6,14,468.4297906503806
6,16,816.3647995705568
6,17,208.53430450801974
6,18,954.5244677703243
6,19,126.2607788647104
6,20,288.6068946841329
6,21,162.7649110624249
6,22,494.68706754452927
6,23,670.790452215023
6,24,348.8997219909079
6,25,418.33824098749443
6,26,432.1273309924794
6,27,126.31422253716339
6,28,75.26289175847104
6,29,135.76667381361625
6,30,127.98976070830903
6,31,192.67185963870418
6,32,525.8512677950241
6,33,350.3977203113926
6,34,543.4542540476444
6,35,176.6759078366925
6,36,432.4782776630696
6,37,98.37705755260662
6,38,1375.1670657990614
6,40,498.69236699346544
6,41,238.53142415266944
6,42,173.39310211033907
6,44,213.48123204870316
6,46,589.3515117769547
6,47,589.8000682382534
6,48,560.0890583741107
6,49,401.95878113722205
6,52,110.63534452320594
6,54,64.78667515587912
6,55,355.00446923995605
6,56,338.4143284030963
6,58,525.2996421626395
6,59,127.87429163253647
6,60,73.54560761370537
6,67,417.8257117488283
6,71,230.79947608276507
6,72,1667.738045020974
6,74,396.349447033983
6,79,718.3850493806756
6,80,211.7989714985491
6,81,284.53499173761264
6,82,292.21159233263114
6,83,126.7420851457891
6,85,137.66478661627167
6,87,854.5947473640769
6,90,675.5382953608772
6,91,536.0141128318024
6,92,1869.1350183209836
6,93,956.9527538508535
6,94,668.6302039900914
6,95,1431.5995489360741
6,96,702.824908011642
6,97,391.6606824901967
6,98,211.6953197553632
6,99,189.4049729880278
7,1,1228.853686676697
7,2,1234.9834525135382
7,3,1198.7158022422293
7,4,863.1325425423623
7,5,1397.1670446585724
7,6,1048.3913201262726
7,7,1356.1427127943234
7,8,552.7542504264816
7,9,3036.591919271542
7,10,1128.5112866028219
7,11,1100.0032379556233
7,12,540.0188003101133
7,13,782.7703372886027
7,14,969.6002459920145
7,16,1840.8855252070932
7,17,607.0702774648225
7,18,767.6004500745536
7,20,461.3498753680273
7,21,279.04456601578227
7,22,835.6178817877385
7,23,1128.8089609759845
7,24,556.6599231400662
7,25,788.0515479751708
7,26,320.6276916382299
7,27,90.11537596691156
7,28,36.356101509311436
7,29,216.357972394352
7,30,183.67983691902987
7,31,404.94571007487076
7,32,847.2654950533818
7,33,467.39802269844876
7,34,525.0525511722498
7,35,53.68776826518267
7,36,473.3738409377583
7,38,2437.7077003230515
7,40,1514.1888227403297
7,41,471.38662956399907
7,42,628.8457952103896
7,44,383.09550361293196
7,45,34.00966448135013
7,46,1065.6672903467036
7,47,46.13436117416014
7,48,784.6081000299704
7,49,25.409990762796784
7,51,589.8000682382534
7,52,205.36365979779058
7,54,29.62330678908499
7,55,921.9877291846536
7,56,1574.859750230088
7,58,707.5753293936774
7,59,22.66492846868327
7,60,33.297879370127674
7,67,931.0564815552709
7,71,398.0236289906546
7,72,2979.6974007058507
7,74,779.8463309673925
7,79,567.190317306268
7,80,122.99441535169947
7,81,467.2642663287242
7,82,781.02899752807
7,83,105.45212038521592
7,85,306.092909925103
7,87,973.2267050647637
7,90,1192.4134767795415
7,91,862.0193819818898
7,92,1333.3695381794191
7,93,317.94834336957126
7,94,464.3750736988922
7,95,1793.5856951765268
7,96,372.50964940059345
7,97,628.2831445215008
7,98,54.039136517386765
8,1,1007.109642118885
8,2,876.5929414384498
8,3,649.0035836933041
8,4,512.5047512409257
8,5,931.0845867458501
8,6,402.30556598389916
8,7,747.1219676411902
8,8,644.3894266234705
8,9,736.8996179028079
8,10,680.3684091987905
8,11,918.7466426569823
8,12,337.5056766176158
8,13,510.8669167931562
8,14,440.8577430385621
8,16,914.392508021
8,17,336.58804687526276
8,18,830.9345380204634
8,19,83.77571828540148
8,20,273.2010511820881
8,21,153.7606617590441
8,22,502.079913235298
8,23,580.3303117421598
8,24,417.60611590137927
8,25,415.61170032928317
8,26,458.8351448693204
8,27,109.15936499282734
8,28,72.40279410813042
8,29,185.34671828807987
8,30,168.6493036321813
8,31,260.05592658406164
8,32,673.225747908947
8,33,421.91745205372564
8,34,354.7159146448901
8,35,168.31033718252237
8,36,214.95404738548442
8,37,149.44455774398196
8,38,2264.409362197238
8,40,725.0318380022923
8,41,170.8334505198895
8,42,281.5889771644473
8,44,262.9183013716755
8,45,589.8000682382534
8,46,529.1189335072086
8,47,589.8000682382534
8,49,343.92058122270646
8,52,206.8485714877894
8,54,61.57367927520753
8,55,324.2971752513898
8,56,611.1041167830367
8,58,312.9092637410848
8,59,130.2676029947828
8,60,78.33089374914456
8,67,578.6597215351937
8,71,277.064983064119
8,72,1762.338595556207
8,74,508.3276019841254
8,78,589.8000682382534
8,79,995.7464179759985
8,80,297.8624367017428
8,81,324.63413285882024
8,82,427.66946422023943
8,83,208.89657320114657
8,85,207.98394636438658
8,87,1126.1066548759172
8,90,690.8276810998534
8,91,993.0988910402921
8,92,1523.9156879276954
8,93,1092.3450635657189
8,94,900.4733498235862
8,95,937.9618509876472
8,97,572.4468610659718
8,98,284.6681384901436
8,99,104.38572414111249
9,1,601.8399845638274
9,2,739.7423680125711
9,3,525.6426257244171
9,4,559.6503740867186
9,5,955.8791371338198
9,6,369.3617651062706
9,7,743.4151450744133
9,8,434.1118588150288
9,9,788.5885598719389
9,10,583.3562817486535
9,11,918.5535019173973
9,12,440.7462535814123
9,13,620.2367447195086
9,14,456.3240745176516
9,16,834.0083368396988
9,17,370.25484799692816
9,18,622.8253486872642
9,19,223.03807438996412
9,20,255.73243711204265
9,21,202.78412765906938
9,22,480.5263818807585
9,23,568.0441369468815
9,24,313.4827729186244
9,25,344.1950841958398
9,26,388.25283026018593
9,27,84.23636951107191
9,28,56.14392392706572
9,29,211.17589600352957
9,30,145.36462434035673
9,31,228.99148236285575
9,32,552.8286468665798
9,33,284.60749286178344
9,34,437.52574446878515
9,35,191.22605280603884
9,36,186.72601296647048
9,38,3409.7620822521385
9,40,710.6878910148461
9,41,182.72268450227028
9,42,365.44862639397275
9,44,222.55677245438864
9,45,589.8000682382534
9,46,357.85187265000707
9,47,589.8000682382534
9,48,452.38050463328136
9,49,28.980879433782874
9,52,182.14477210149917
9,54,27.151307184476817
9,55,498.9215243212607
9,56,607.1622053625802
9,59,82.87830988127448
9,60,34.241575861724456
9,67,468.58553628048276
9,71,245.6928237401714
9,72,1809.5559893265004
9,74,537.3531886469568
9,79,354.34628514619914
9,80,6.347621345037708
9,81,65.590353685898
9,82,404.4405038671821
9,85,131.77240379884455
9,87,942.7993415812065
9,90,88.9833066280629
9,91,131.62594698812072
9,92,364.8161950723336
9,94,580.0337474060996
9,95,744.0314424272224
9,96,238.99358923445493
9,98,7.796565454693433
10,1,1661.214777142803
10,2,4086.311335420769
10,3,1874.137265787073
10,4,722.609095693788
10,5,2464.603301535341
10,6,913.8490769006703
10,7,2389.4389048859616
10,8,2389.939497765123
10,9,2313.328952257455
10,10,1120.36834791893
10,11,1051.6070596453708
10,12,442.95016598094804
10,13,1400.1201027226527
10,14,1360.1756884572833
10,16,1119.2521801732046
10,17,983.0700158432338
10,18,1844.8392910497041
10,19,205.22157525986748
10,20,565.3374977242106
10,21,399.3408300993887
10,22,1076.939612832553
10,23,2542.764251004026
10,24,657.774928299456
10,25,682.3155367118298
10,26,608.1087993138581
